Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
"Zacatal, El",,," Mexiko, Campeche (MX-CAM)",18.32667,-89.86694
"Zapote, El",,ZAP,"Guatemala, PetÈn (GT-PE)",17.02105,-89.64349
"Zotz, El",Xinoxult√∫n = Dos Aguadas = El Diablo = El Sotz,ZTZ,"Guatemala, PetÈn (GT-PE)",17.23372,-89.82155
Flores,Noj Peten,FLS,"Guatemala, PetÈn (GT-PE)",16.930194,-89.891576
Hacienda Hotzuc,Hotzuc,HTZ,"Mexiko, Yucat·n (MX-YUC)",20.805382,-89.692545
Halakal,,HLK,"Mexiko, Yucat·n (MX-YUC)",20.690021,-88.536227
Hobomo,Xobomo,HBM," Mexiko, Campeche (MX-CAM)",19.54863,-90.48769
Hochob,,HCH," Mexiko, Campeche (MX-CAM)",19.408825,-89.770851
Holmul,La Riverita,HLM,"Guatemala, PetÈn (GT-PE)",17.31194,-89.27306
Hormiguero,,HRM," Mexiko, Campeche (MX-CAM)",18.409722,-89.493056
Huacutal,Aguacatal,HUA,"Guatemala, PetÈn (GT-PE)",17.095278,-90.028333
Hun Nal Ye,,,"Guatemala, Alta Verapaz (GT-AV)",15.677686,-90.319565
Huntichmul,Huntichmul I,HNT,"Mexiko, Yucat·n (MX-YUC)",20.122131,-89.588195
IchmulIchmul de Morley = Kumche,,ICL,"Mexiko, Yucat·n (MX-YUC)",20.857557,-88.38127
IkilIki,,IKL,"Mexiko, Yucat·n (MX-YUC)",20.614311,-88.814352
Itzan,,ITN,"Guatemala, PetÈn (GT-PE)",16.566667,-90.466667
Itzimte-Bolonchen,Itzimte = Bolonchen,ITB," Mexiko, Campeche (MX-CAM)",20.01773,-89.7281
Ixkun,,IXK,"Guatemala, PetÈn (GT-PE)",16.573896,-89.409568
Ixlu,,IXL,"Guatemala, PetÈn (GT-PE)",16.97843,-89.68702
Ixtonton,,IXT,"Guatemala, PetÈn (GT-PE)",16.510148,-89.395934
Ixtutz,,IXZ,"Guatemala, PetÈn (GT-PE)",16.472963,-89.478321
Jaina,Island of Jaina = Isla de Jaina,JAI," Mexiko, Campeche (MX-CAM)",20.209341,-90.486523
Jimbal,Bambunal,JMB,"Guatemala, PetÈn (GT-PE)",17.2825,-89.611944
Jolja,Ixtelha = Cueva de Jolja = Joloniel = Jolja',JOL,"Mexiko, Chiapas (MX-CHP)",17.351417,-92.321555
Ka'Kabish,,,"Belize, Orange Walk (BZ-OW)",17.81611,-88.72972
Kabah,,KAB,"Mexiko, Yucat·n (MX-YUC)",20.248921,-89.647778
Kaminaljuyu,,KJU,"Guatemala, Guatemala (GT-GU)",14.631257,-90.54847
Kayal,,KYL," Mexiko, Campeche (MX-CAM)",19.66817,-90.14098
Kendal,,KEN,"Belize, Stann Creek (BZ-SC)",16.822541,-88.366402
Kichpanha,,KIP,"Belize, Orange Walk (BZ-OW)",17.996041,-88.46698
Kinal,Las Ruinas,KNL,"Guatemala, PetÈn (GT-PE)",17.69965,-89.245351
Kiuic,Kiwick = Kewick,KUC,"Mexiko, Yucat·n (MX-YUC)",20.096485,-89.551165
Kohunlich,,KOH," Mexiko, Quintana Roo (MX-ROO)",18.41966,-88.79079
"Amelia, La",,AML,"Guatemala, PetÈn (GT-PE)",16.52944,-90.42417
"Corona, La",,CRN,"Guatemala, PetÈn (GT-PE)",17.519746,-90.372226
Florida,LaOcultun = La Florida-Namaan = El Naranjo-Frontera,FLD,"Guatemala, PetÈn (GT-PE)",17.229708,-90.811744
Honradez, LaCorozal√≥n,HRZ,"Guatemala, PetÈn (GT-PE)",17.59798,-89.28288
"Joyanca, La",,JOY,"Guatemala, PetÈn (GT-PE)",17.23769,-90.568789
Linterna, LaLa Linterna II,LTN,"Guatemala, Alta Verapaz (GT-AV)",16.037312,-90.227358
"Mar, LaRabbit Stone",,MAR,"Mexiko, Chiapas (MX-CHP)",17.11178,-91.41003
"Milpa, La",,MLP,"Belize, Orange Walk (BZ-OW)",17.821111,-89.055833
Montura,LaKinin = La Monturita,MTR,"Guatemala, PetÈn (GT-PE)",17.208333,-89.988333
Mu√±eca,LaXamantun = El Mirador = La Gran Parada,MCA," Mexiko, Campeche (MX-CAM)",18.219269,-89.612303
"Naya, La",,NAY,"Guatemala, PetÈn (GT-PE)",17.01617,-89.47767
"Pasadita, La",,PSD,"Guatemala, PetÈn (GT-PE)",16.990144,-91.055417
"Pochitoca, La",,PCT,"Guatemala, PetÈn (GT-PE)",17.109333,-89.394
Rejolla,LaLa Rejoya,REJ,"Guatemala, PetÈn (GT-PE)",16.799541,-89.201877
Sufricaya,LaEl G√ºiro,SUF,"Guatemala, PetÈn (GT-PE)",17.304166,-89.285166
Labna,,LAB,"Mexiko, Yucat·n (MX-YUC)",20.17246,-89.578687
Lacanha,Lacanja = Lacanha Kuna = Nak Balum Winik,LAC,"Mexiko, Chiapas (MX-CHP)",16.713757,-91.100146
Laguna Perdida, IILaguna Perdida,LGP,"Guatemala, PetÈn (GT-PE)",17.072833,-90.1855
Lamanai,,LMN,"Belize, Orange Walk (BZ-OW)",17.76505,-88.65299
Lashtunich,Laxtunich = Lamb Site = Site R,LTI,"Guatemala, PetÈn (GT-PE)",16.981835,-91.089809
Loltun,,LOL,"Mexiko, Yucat·n (MX-YUC)",20.25353,-89.45597
"Alacranes, Los",,ALC," Mexiko, Campeche (MX-CAM)",17.98167,-89.20944
"Angeles, Los",Los √Ångeles,," Mexiko, Campeche (MX-CAM)",18.215362,-89.176769
Lubaantun,,LBT," Belize, Toledo (BZ-TOL)",16.282028,-88.959555
Machaquila,,MQL,"Guatemala, PetÈn (GT-PE)",16.325373,-89.865615
Mayapan,,MPN,"Mexiko, Yucat·n (MX-YUC)",20.629652,-89.460594
Monumento 104Aguada Cancuen,,," Mexiko, Campeche (MX-CAM)",17.816304,-89.314546
Moral,Morales = Balancan = Balancan-Morales = Moral-Reforma = Acalan,MRL,"Mexiko, Tabasco (MX-TAB)",17.769255,-91.297661
Motul de San Jose,Motul,MTL,"Guatemala, PetÈn (GT-PE)",17.026517,-89.90115
Mountain Cow,Tzimin Tunich = Tzimin Kax / Haatzcab Ceel = Hatzcab Ceel = Hatzcap Ceel / Cahal Cunil / Cahal Pichik,MCW," Belize, Cayo (BZ-CY)",16.789217,-89.049382
Naachtun,Infiernon = La Ruinosa,NCT,"Guatemala, PetÈn (GT-PE)",17.79405,-89.72847
Nadzbeiltun,,," Mexiko, Campeche (MX-CAM)",18.297222,-90.085833
